#,id,nome,marcaId,ano,preco,km,transmissao,imagem,descricao,tipo
11,27,Oroch,4,2023,78880.0,10885,Automático,https://revistacarro.com.br/wp-content/uploads/2022/04/Renault-Oroch-2023_1.jpg,"SUV confortável e espaçoso, ideal para famílias. Equipado com central multimídia touch, piloto automático, controles de tração e estabilidade, ar-condicionado automático, direção elétrica, bancos confortáveis, porta-malas amplo e condução suave. Baixa quilometragem e histórico de manutenção comprovado.",Picape
12,15,Kwid,4,2021,163272.0,5965,Automático,https://s2-autoesporte.glbimg.com/R-S5_rhfKDqT8IrIdrJuS-wCuuE=/0x0:1500x930/888x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_cf9d035bf26b4646b105bd958f32089d/internal_photos/bs/2023/j/I/yBbMg7SGS9H0c7tZLuUQ/renault-kwid-intense-57.jpg,"Compacto econômico em ótimo estado de conservação. Perfeito para o dia a dia, com ar-condicionado, direção elétrica, vidros e travas elétricas, central multimídia com conectividade smartphone, computador de bordo, sensor de estacionamento e design moderno. Mecânica confiável, pintura sem detalhes e pneus em excelente condição.",Hatch
13,28,Kwid,4,2021,210023.0,13044,Automático,https://cdn.motor1.com/images/mgl/vLRNq/s3/renault-kwid-ultra-africa-do-sul.jpg,"Hatch premium com design moderno e pacote tecnológico completo. Possui central multimídia avançada, ar-condicionado digital, rodas de liga leve, faróis full LED, câmera de ré, sensor de estacionamento, acabamento interno sofisticado e excelente dirigibilidade. Veículo seminovo em estado impecável, revisões em dia e ótimo custo-benefício.",Hatch
14,21,3008,6,2022,154158.0,43598,Manual,https://garagem360.com.br/wp-content/uploads/2021/06/Peugeot-3008-11.jpg,"SUV confortável e espaçoso, ideal para famílias. Equipado com central multimídia touch, piloto automático, controles de tração e estabilidade, ar-condicionado automático, direção elétrica, bancos confortáveis, porta-malas amplo e condução suave. Baixa quilometragem e histórico de manutenção comprovado.",SUV
15,23,Kicks,1,2023,122921.0,39756,Manual,https://portaln10.com.br/fipecarros/wp-content/uploads/2022/10/download-1.jpg,"Hatch premium com design moderno e pacote tecnológico completo. Possui central multimídia avançada, ar-condicionado digital, rodas de liga leve, faróis full LED, câmera de ré, sensor de estacionamento, acabamento interno sofisticado e excelente dirigibilidade. Veículo seminovo em estado impecável, revisões em dia e ótimo custo-benefício.",SUV
16,29,Cruze,9,2023,126645.0,35779,Manual,https://cdn.motor1.com/images/mgl/vLRNq/s3/renault-kwid-ultra-africa-do-sul.jpg,"Compacto econômico em ótimo estado de conservação. Perfeito para o dia a dia, com ar-condicionado, direção elétrica, vidros e travas elétricas, central multimídia com conectividade smartphone, computador de bordo, sensor de estacionamento e design moderno. Mecânica confiável, pintura sem detalhes e pneus em excelente condição.",Sedan
17,12,Taos,5,2020,134843.0,33152,Manual,https://s2-autoesporte.glbimg.com/GlTqKcdnDqVf7hLQLZ9Zxdymz8s=/1499x632:4317x2557/888x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_cf9d035bf26b4646b105bd958f32089d/internal_photos/bs/2020/p/X/rcrf1PThWO1va8ARvucg/volkswagen-taos-2022-eua-1-.jpg,"Hatch premium com design moderno e pacote tecnológico completo. Possui central multimídia avançada, ar-condicionado digital, rodas de liga leve, faróis full LED, câmera de ré, sensor de estacionamento, acabamento interno sofisticado e excelente dirigibilidade. Veículo seminovo em estado impecável, revisões em dia e ótimo custo-benefício.",SUV
18,4,Oroch,4,2023,83315.0,40239,Automático,https://dezeroacem.com.br/wp-content/uploads/2022/04/Renault-Oroch-2023.jpg,"Compacto econômico em ótimo estado de conservação. Perfeito para o dia a dia, com ar-condicionado, direção elétrica, vidros e travas elétricas, central multimídia com conectividade smartphone, computador de bordo, sensor de estacionamento e design moderno. Mecânica confiável, pintura sem detalhes e pneus em excelente condição.",Picape
19,13,Tracker,9,2023,79130.0,27014,Manual,https://quatrorodas.abril.com.br/wp-content/uploads/2022/04/Chevrolet-Tracker-Premier-1.0-2023-frente-Copia.jpg?quality=70&strip=info,"Hatch premium com design moderno e pacote tecnológico completo. Possui central multimídia avançada, ar-condicionado digital, rodas de liga leve, faróis full LED, câmera de ré, sensor de estacionamento, acabamento interno sofisticado e excelente dirigibilidade. Veículo seminovo em estado impecável, revisões em dia e ótimo custo-benefício.",SUV
20,24,i30,10,2019,149325.0,31093,Manual,"https://carsguide-res.cloudinary.com/image/upload/c_fit,h_841,w_1490,f_auto,t_cg_base/v1/editorial/2019-Hyundai-i30-N-Line-red-1001x565.jpg","Compacto econômico em ótimo estado de conservação. Perfeito para o dia a dia, com ar-condicionado, direção elétrica, vidros e travas elétricas, central multimídia com conectividade smartphone, computador de bordo, sensor de estacionamento e design moderno. Mecânica confiável, pintura sem detalhes e pneus em excelente condição.",Hatch
21,30,Kicks,1,2022,113139.0,25082,Manual,https://s2-autoesporte.glbimg.com/BHq1AN6a9Ve6sEYKeROmH8jJxCk=/299x103:1946x1321/888x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_cf9d035bf26b4646b105bd958f32089d/internal_photos/bs/2021/q/K/ugzyCTRfCcjfcpxgS8HA/61-nissan-kicks-exclusive-30-.jpg,"Compacto econômico em ótimo estado de conservação. Perfeito para o dia a dia, com ar-condicionado, direção elétrica, vidros e travas elétricas, central multimídia com conectividade smartphone, computador de bordo, sensor de estacionamento e design moderno. Mecânica confiável, pintura sem detalhes e pneus em excelente condição.",SUV
22,26,Fastback,2,2021,136863.0,17956,Automático,"https://quatrorodas.abril.com.br/wp-content/uploads/2022/09/Fiat_Fastback_Limted-1.3-turbo-43-e1663185856860.jpg?crop=1&resize=1212,909","Hatch premium com design moderno e pacote tecnológico completo. Possui central multimídia avançada, ar-condicionado digital, rodas de liga leve, faróis full LED, câmera de ré, sensor de estacionamento, acabamento interno sofisticado e excelente dirigibilidade. Veículo seminovo em estado impecável, revisões em dia e ótimo custo-benefício.",Sedan
23,11,WR-V,8,2021,143830.0,16178,Automático,"https://image1.mobiauto.com.br/images/api/images/v1.0/47279686/transform/fl_progressive,f_webp,q_80","Compacto econômico em ótimo estado de conservação. Perfeito para o dia a dia, com ar-condicionado, direção elétrica, vidros e travas elétricas, central multimídia com conectividade smartphone, computador de bordo, sensor de estacionamento e design moderno. Mecânica confiável, pintura sem detalhes e pneus em excelente condição.",SUV
24,8,2008,6,2022,98738.0,29428,Automático,https://cdn.motor1.com/images/mgl/rBo4Y/s1/essai-peugeot-2008-puretech-130-gt-line.webp,"Compacto econômico em ótimo estado de conservação. Perfeito para o dia a dia, com ar-condicionado, direção elétrica, vidros e travas elétricas, central multimídia com conectividade smartphone, computador de bordo, sensor de estacionamento e design moderno. Mecânica confiável, pintura sem detalhes e pneus em excelente condição.",SUV
25,9,HR-V,8,2022,120789.0,30364,Manual,https://mundodoautomovelparapcd.com.br/wp-content/uploads/2022/04/hrv-europeu.jpg,"SUV confortável e espaçoso, ideal para famílias. Equipado com central multimídia touch, piloto automático, controles de tração e estabilidade, ar-condicionado automático, direção elétrica, bancos confortáveis, porta-malas amplo e condução suave. Baixa quilometragem e histórico de manutenção comprovado.",SUV
26,19,Elantra,10,2019,87685.0,32406,Manual,https://cdn.motor1.com/images/mgl/9wpjv/s1/4x3/2019-hyundai-elantra.webp,"Compacto econômico em ótimo estado de conservação. Perfeito para o dia a dia, com ar-condicionado, direção elétrica, vidros e travas elétricas, central multimídia com conectividade smartphone, computador de bordo, sensor de estacionamento e design moderno. Mecânica confiável, pintura sem detalhes e pneus em excelente condição.",Sedan
27,17,2008,6,2020,86829.0,9960,Manual,https://cloudfront-us-east-1.images.arcpublishing.com/estadao/RXRZ6KL6BNP7PM3DELPL2C6NPA.jpg,"Compacto econômico em ótimo estado de conservação. Perfeito para o dia a dia, com ar-condicionado, direção elétrica, vidros e travas elétricas, central multimídia com conectividade smartphone, computador de bordo, sensor de estacionamento e design moderno. Mecânica confiável, pintura sem detalhes e pneus em excelente condição.",SUV
28,1,Kicks,1,2019,138277.0,15386,Manual,https://www.autossegredos.com.br/wp-content/uploads/2017/12/testes-nissan-kicks-sl-3.jpg,"Hatch premium com design moderno e pacote tecnológico completo. Possui central multimídia avançada, ar-condicionado digital, rodas de liga leve, faróis full LED, câmera de ré, sensor de estacionamento, acabamento interno sofisticado e excelente dirigibilidade. Veículo seminovo em estado impecável, revisões em dia e ótimo custo-benefício.",SUV
29,10,WR-V,8,2020,112141.0,14282,Automático,https://quatrorodas.abril.com.br/wp-content/uploads/2017/04/mg_7655-e1597072768978.jpg?quality=70&strip=info&w=1024&crop=1,"Compacto econômico em ótimo estado de conservação. Perfeito para o dia a dia, com ar-condicionado, direção elétrica, vidros e travas elétricas, central multimídia com conectividade smartphone, computador de bordo, sensor de estacionamento e design moderno. Mecânica confiável, pintura sem detalhes e pneus em excelente condição.",SUV
30,3,Compass,3,2024,75278.0,13015,Manual,https://cdn.motor1.com/images/mgl/P3gRkX/s3/jeep-compass-2024---europa.webp,"Compacto econômico em ótimo estado de conservação. Perfeito para o dia a dia, com ar-condicionado, direção elétrica, vidros e travas elétricas, central multimídia com conectividade smartphone, computador de bordo, sensor de estacionamento e design moderno. Mecânica confiável, pintura sem detalhes e pneus em excelente condição.",SUV
